reportkey	Guardian incident url	lat	long	bundle	Guardian headline	dateoccurred	type	category	Guardian edited category	attackon	dcolor
D94642A2-1772-4FB1-A002-649A11402A58	http://www.guardian.co.uk/world/afghanistan/warlogs/D94642A2-1772-4FB1-A002-649A11402A58	34,81916046	69,6763916	270	Top Taliban bombed	12.01.2008 04:30	Air Mission	CCA	Other	UNKNOWN	GREEN
7BE2B829-2219-0B3F-9FC9793AACB91D71	http://www.guardian.co.uk/world/afghanistan/warlogs/7BE2B829-2219-0B3F-9FC9793AACB91D71	34,43027878	70,45278168	173	Plot to kidnap United Nations staff to swap for militants	14.01.2008 00:00	Threat Report	Other	Other	ENEMY	RED
D768124F-8A98-4C24-BB14-C517BCE008E5	http://www.guardian.co.uk/world/afghanistan/warlogs/D768124F-8A98-4C24-BB14-C517BCE008E5	32,07688141	64,84715271	268	Heat-seeking Javelin missile kills Afghan soldier	14.01.2008 18:30	Friendly Fire	BLUE-BLUE	Coalition friendly fire	FRIEND	BLUE
AD51BDCD-860B-4DB9-B594-A7549A815C97	http://www.guardian.co.uk/world/afghanistan/warlogs/AD51BDCD-860B-4DB9-B594-A7549A815C97	32,55015182	62,92525101	226	Police patrols fire on each other	20.01.2008 02:00	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
8EE03DCF-DA22-4B24-A660-47A8DC8D3540	http://www.guardian.co.uk/world/afghanistan/warlogs/8EE03DCF-DA22-4B24-A660-47A8DC8D3540	32,06632996	64,85920715	207	Helmand troops wound child in innocent vehicle	22.01.2008 07:41	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
00D52E72-4EB9-449C-A78A-A3B6481B9F66	http://www.guardian.co.uk/world/afghanistan/warlogs/00D52E72-4EB9-449C-A78A-A3B6481B9F66	32,52013016	67,41359711	5	Roadblock troops wound driver	24.01.2008 06:35	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
41EB018C-11F0-4E1B-B984-140711403336	http://www.guardian.co.uk/world/afghanistan/warlogs/41EB018C-11F0-4E1B-B984-140711403336	31,55841064	65,84441376	78	Truck driver machine-gunned and killed	31.01.2008 15:53	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
035C3862-940F-4C5E-BF07-F1EE7F15E427	http://www.guardian.co.uk/world/afghanistan/warlogs/035C3862-940F-4C5E-BF07-F1EE7F15E427	32,8044281	62,54199982	6	Spanish convoy kills car passenger and wounds driver	10.02.2008 02:30	Friendly Fire	BLUE-on-WHITE	Civilian casualties	FRIEND	BLUE
0028A64B-F033-4ECA-A0D4-6F8074CA3F78	http://www.guardian.co.uk/world/afghanistan/warlogs/0028A64B-F033-4ECA-A0D4-6F8074CA3F78	31,62758064	65,7326889	1	Convoy shoots civilian driver	10.02.2008 04:40	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
50A75610-501E-4A17-A461-4A08D596EBE8	http://www.guardian.co.uk/world/afghanistan/warlogs/50A75610-501E-4A17-A461-4A08D596EBE8	31,61611938	65,63436127	101	Suicide bomber kills many locals after attacking dog-fighting festival	17.02.2008 06:00	Explosive Hazard	IED Explosion	Other	ENEMY	RED
C4639DF6-CC75-41B7-BF6F-F72270BA3F60	http://www.guardian.co.uk/world/afghanistan/warlogs/C4639DF6-CC75-41B7-BF6F-F72270BA3F60	31,9883709	66,71814728	250	Afghan soldiers fire at coalition unit	19.02.2008 05:03	Friendly Fire	BLUE-BLUE	Coalition friendly fire	FRIEND	BLUE
5DE06BCB-4FE0-4509-8BB8-742D29BBF00C	http://www.guardian.co.uk/world/afghanistan/warlogs/5DE06BCB-4FE0-4509-8BB8-742D29BBF00C	31,62224007	65,05589294	120	Army rocket grenade injures eight of own troops	26.02.2008 08:05	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
BE841896-FBA8-46CE-9E03-33D851927585	http://www.guardian.co.uk/world/afghanistan/warlogs/BE841896-FBA8-46CE-9E03-33D851927585	34,52199936	69,15567017	241	Taking out the Taliban	08.03.2008 09:00	Non-Combat Event	Meeting	Other	NEUTRAL	GREEN
15937D9D-1F8E-468A-960A-88D846BB5F4A	http://www.guprod.gnl/world/afghanistan/warlogs/15937D9D-1F8E-468A-960A-88D846BB5F4A	32,19337845	64,80557251	309	Apache helicopter strike outside Kandahar	12.03.2008 03:25	Enemy Action	Direct Fire	Other	ENEMY	RED
78EA5086-D1C1-46B5-9796-B054B5C7C581	http://www.guardian.co.uk/world/afghanistan/warlogs/78EA5086-D1C1-46B5-9796-B054B5C7C581	31,80838013	64,5181427	167	"Patrol shoots ""too close"" driver"	13.03.2008 06:55	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
7BE93069-2219-0B3F-9FC8ADDCFCCA9F38	http://www.guardian.co.uk/world/afghanistan/warlogs/7BE93069-2219-0B3F-9FC8ADDCFCCA9F38	32,14966965	63,41675186	175	Pakistan allegedly offering money for assassination of Indian road workers	22.03.2008 00:00	Threat Report	Attack Threat	Other	ENEMY	RED
7C0DB2B9-2219-0B3F-9F4695A5C669CD99	http://www.guardian.co.uk/world/afghanistan/warlogs/7C0DB2B9-2219-0B3F-9F4695A5C669CD99	32,25289154	65,01042175	177	Iranian-made parts for makeshift bombs smuggled to Taliban, US claims	04.04.2008 00:00	Threat Report	IED Threat	Other	ENEMY	RED
3CF667CA-B6A5-6339-4EE2C7BC3DF44A89	http://www.guardian.co.uk/world/afghanistan/warlogs/3CF667CA-B6A5-6339-4EE2C7BC3DF44A89	35,40445328	71,42596436	74	"Soldier shoots colleague for ""foot-stamping"" overhead"	11.04.2008 03:30	Friendly Fire	Green-Green	Afghan friendly fire	FRIEND	BLUE
4BC602C6-A0A7-9894-4620197D88137CCE	http://www.guardian.co.uk/world/afghanistan/warlogs/4BC602C6-A0A7-9894-4620197D88137CCE	30,97563171	66,49227142	90	Border patrol firefight with Pakistani troops	14.04.2008 06:44	Friendly Fire	Green-Green	Afghan friendly fire	FRIEND	BLUE
8758FE65-CC0D-A2FB-6ED987FF54265924	http://www.guardian.co.uk/world/afghanistan/warlogs/8758FE65-CC0D-A2FB-6ED987FF54265924	33,63291931	62,2624855	190	"Soldiers firefight with ""bribe-taking"" police"	25.04.2008 12:50	Friendly Fire	Green-Green	Afghan friendly fire	FRIEND	BLUE
8C24C988-D9C1-00C2-D3DA048AA13ADB87	http://www.guardian.co.uk/world/afghanistan/warlogs/8C24C988-D9C1-00C2-D3DA048AA13ADB87	34,52973175	69,17987061	201	Convoy fearing suicide bomb shoots Kabul civilian	26.04.2008 13:35	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
7C35DE4B-2219-0B3F-9F69F3FFCBF4DD1E	http://www.guardian.co.uk/world/afghanistan/warlogs/7C35DE4B-2219-0B3F-9F69F3FFCBF4DD1E	34,91064072	70,37924957	179	Taliban allegedly plotting to poison coalition forces in honour of Bin Laden	01.05.2008 00:00	Threat Report	Other	Other	ENEMY	RED
E6DE5721-C1B7-1821-05893E43509A6C58	http://www.guardian.co.uk/world/afghanistan/warlogs/E6DE5721-C1B7-1821-05893E43509A6C58	33,16999817	68,78999329	282	Soldier on convoy kills civilian near Sharana base	05.05.2008 13:45	Friendly Fire	Blue-White	Civilian casualties	FRIEND	BLUE
C193D64B-EFD8-29EE-C1127750398FAE78	http://www.guardian.co.uk/world/afghanistan/warlogs/C193D64B-EFD8-29EE-C1127750398FAE78	33,06190109	68,66255951	245	Afghan police kill six civilians in revenge attack	06.05.2008 13:01	Friendly Action	Other	Other	FRIEND	BLUE
F66F2A1F-05F6-AF32-C5BA7252A6A128A2	http://www.guardian.co.uk/world/afghanistan/warlogs/F66F2A1F-05F6-AF32-C5BA7252A6A128A2	31,48851776	64,32133484	295	"'""Warning shot"" wounds driver"	17.05.2008 07:14	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
0EEE0C62-FF9A-70F8-4D5CB2B1ADB8B8B4	http://www.guardian.co.uk/world/afghanistan/warlogs/0EEE0C62-FF9A-70F8-4D5CB2B1ADB8B8B4	33,17214584	68,79621124	26	Afghan intelligence shoot police trooper in dispute	21.05.2008 12:30	Friendly Fire	Blue-Blue	Coalition friendly fire	FRIEND	BLUE
562D2AEC-B1E5-6070-9F28498E06E0B5A8	http://www.guardian.co.uk/world/afghanistan/warlogs/562D2AEC-B1E5-6070-9F28498E06E0B5A8	32,64414597	68,27508545	112	"Polish troops mistakenly shoot man in ""suicide vest"""	04.06.2008 09:36	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
8C5B7A4C-07F6-0B88-30CD5E27D5B93898	http://www.guardian.co.uk/world/afghanistan/warlogs/8C5B7A4C-07F6-0B88-30CD5E27D5B93898	32,87607574	68,95061493	203	Irrigation ditch-digger shot dead and companion wounded for fear of IEDs	15.06.2008 03:36	Friendly Fire	Blue-White	Civilian casualties	FRIEND	BLUE
CFDE04ED-B66A-3320-5BF53D1CC457DF87	http://www.guardian.co.uk/world/afghanistan/warlogs/CFDE04ED-B66A-3320-5BF53D1CC457DF87	34,10028076	68,76365662	264	Police shoot own officer in error	28.06.2008 08:30	Friendly Fire	Blue-Blue	Coalition friendly fire	FRIEND	BLUE
FCC62F8A-9F3D-FECD-F7D4602C1FCE0230	http://www.guardian.co.uk/world/afghanistan/warlogs/FCC62F8A-9F3D-FECD-F7D4602C1FCE0230	32,7248764	69,16861725	304	Italian convoy shoots Afghan army officer	07.07.2008 05:54	Friendly Fire	Blue-Green	Coalition friendly fire	FRIEND	BLUE
2F8FCFDD-F5CB-9FAB-B96C7574D4BE7364	http://www.guardian.co.uk/world/afghanistan/warlogs/2F8FCFDD-F5CB-9FAB-B96C7574D4BE7364	32,24308395	62,95640182	63	Air strike called in by Marines kills seven children	15.07.2008 11:40	Other	Other	Other	NEUTRAL	GREEN
783FC77B-2219-0B3F-9F2EEBF30AF00FFA	http://www.guardian.co.uk/world/afghanistan/warlogs/783FC77B-2219-0B3F-9F2EEBF30AF00FFA	34,51667023	69,18332672	164	Al-Qaida allegedly developing chemical weapons	23.07.2008 00:00	Threat Report	Attack Threat	Other	ENEMY	RED
7886CC4C-E6D7-4DF4-16E23523502699DE	http://www.guardian.co.uk/world/afghanistan/warlogs/7886CC4C-E6D7-4DF4-16E23523502699DE	32,67513275	62,75361633	166	US Marines patrol wounds pregnant woman in car	31.07.2008 08:00	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
8050DC86-B24F-4DFF-F4433E8B45C3FB26	http://www.guardian.co.uk/world/afghanistan/warlogs/8050DC86-B24F-4DFF-F4433E8B45C3FB26	34,98151779	63,12051773	182	Spanish convoy gunner wounds motorcyclists	01.08.2008 13:50	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
0x080e0000011c0c780d8e160d2d8b945b	http://www.guardian.co.uk/world/afghanistan/warlogs/0x080e0000011c0c780d8e160d2d8b945b	32,24806213	65,00724792	27	Air strike wounds unacknowledged numbers.	30.08.2008 01:56	Enemy Action	Direct Fire	Civilian casualties	ENEMY	RED
080e0000011c2de01f5916db905ca9c3	http://www.guardian.co.uk/world/afghanistan/warlogs/080e0000011c2de01f5916db905ca9c3	33,43575287	69,04081726	10	Army-police shoot-out	05.09.2008 09:07	Friendly Fire	Green-Green	Afghan friendly fire	FRIEND	BLUE
080e0000011c453fb302160d7e5e96a0	http://www.guardian.co.uk/world/afghanistan/warlogs/080e0000011c453fb302160d7e5e96a0	33,58015823	69,82315826	11	Smart bomb hits village: up to 26 civilian casualties	09.09.2008 06:51	Friendly Fire	Blue-White	Civilian casualties	FRIEND	BLUE
7B68D2E6-2219-0B3F-9FB5635F1079CB18	http://www.guardian.co.uk/world/afghanistan/warlogs/7B68D2E6-2219-0B3F-9FB5635F1079CB18	34,22192001	62,27257919	169	Multi-national Al-Qaida unit planning attacks Ð US intelligence reports	28.09.2008 00:00	Threat Report	IED Threat	Other	ENEMY	RED
080e0000011ca44f6a7a16db9c3d9851	http://www.guardian.co.uk/world/afghanistan/warlogs/080e0000011ca44f6a7a16db9c3d9851	33,94887924	69,05257416	12	Army shoot police	28.09.2008 09:24	Friendly Fire	Green-Green	Afghan friendly fire	FRIEND	BLUE
080e0000011cbbafec28160d2d8b87b6	http://www.guardian.co.uk/world/afghanistan/warlogs/080e0000011cbbafec28160d2d8b87b6	34,57512665	69,39794922	13	French convoy shoots 8 children on bus	02.10.2008 04:15	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
080e0000011ccb3b0b6b160d6c8fe12d	http://www.guardian.co.uk/world/afghanistan/warlogs/080e0000011ccb3b0b6b160d6c8fe12d	33,80470657	69,81352997	14	"Convoy gunner shoots ""too close"" driver"	07.10.2008 04:10	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
9923276D-082E-4116-97FC-98ED3B4CF007	http://www.guardian.co.uk/world/afghanistan/warlogs/9923276D-082E-4116-97FC-98ED3B4CF007	32,10830688	64,91146088	216	British commandos wound motorcyclist	14.10.2008 00:00	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
C6CD7A8C-70D8-4EC9-835B-D95B515BD17B	http://www.guardian.co.uk/world/afghanistan/warlogs/C6CD7A8C-70D8-4EC9-835B-D95B515BD17B	31,56890106	65,54823303	252	Patrol hit 14-year-old passer-by with warning shot	15.10.2008 00:00	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
8A77C76F-5F37-4C88-9D02-FEFFD523A6BC	http://www.guardian.co.uk/world/afghanistan/warlogs/8A77C76F-5F37-4C88-9D02-FEFFD523A6BC	32,62487793	65,49004364	199	Patrol wounds motorcyclist	17.10.2008 00:00	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
733A452F-C9F3-4A25-AEAA-980BC16FDA1E	http://www.guardian.co.uk/world/afghanistan/warlogs/733A452F-C9F3-4A25-AEAA-980BC16FDA1E	32,07587814	64,84040833	139	British mentoring team kill motorcyclist	22.10.2008 13:00	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
FC6937B2-E41D-464B-96D5-DE3F6D494A94	http://www.guardian.co.uk/world/afghanistan/warlogs/FC6937B2-E41D-464B-96D5-DE3F6D494A94	36,68022156	68,96083069	303	Five civilians wounded at roadblock	24.10.2008 19:55	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
080e0000011d34032240160d16783c0a	http://www.guardian.co.uk/world/afghanistan/warlogs/080e0000011d34032240160d16783c0a	34,9725914	69,28253174	15	Motorcyclist shot at road-block	28.10.2008 05:40	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
C1D700F0-24CF-4BF8-9F49-9DAEBEA84A96	http://www.guardian.co.uk/world/afghanistan/warlogs/C1D700F0-24CF-4BF8-9F49-9DAEBEA84A96	31,40930176	64,09963989	246	Drones target top Taliban	28.10.2008 13:53	Enemy Action	Direct Fire	Other	ENEMY	RED
80EBC8A8-ECB7-4055-8F5F-BCF9104B4524	http://www.guardian.co.uk/world/afghanistan/warlogs/80EBC8A8-ECB7-4055-8F5F-BCF9104B4524	31,53677177	65,38500214	183	People fleeing missile attack bombed again by Reaper drone	28.10.2008 15:09	Enemy Action	Direct Fire	Civilian casualties	ENEMY	RED
5D80679A-EF3F-2F20-9FE126DCE5280518	http://www.guardian.co.uk/world/afghanistan/warlogs/5D80679A-EF3F-2F20-9FE126DCE5280518	34,90758514	70,94450378	118	Patrol rockets Afghan army unit, wounding five	02.11.2008 06:54	Friendly Fire	Blue-Green	Coalition friendly fire	FRIEND	BLUE
713D9032-1D5E-4B8A-893B-731D5DE16849	http://www.guardian.co.uk/world/afghanistan/warlogs/713D9032-1D5E-4B8A-893B-731D5DE16849	31,71808815	64,27300262	138	Drones target top Taliban	06.11.2008 16:32	Enemy Action	Direct Fire	Other	ENEMY	RED
602BFFF7-ED0B-4B0A-9FCA-B9DA94A635F0	http://www.guardian.co.uk/world/afghanistan/warlogs/602BFFF7-ED0B-4B0A-9FCA-B9DA94A635F0	34,54191208	69,34885406	123	"Convoy wounds civilian with ""ricochet"""	08.11.2008 08:20	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
415D50BF-34C3-4927-A12F-461A324EF801	http://www.guardian.co.uk/world/afghanistan/warlogs/415D50BF-34C3-4927-A12F-461A324EF801	33,38520813	62,30031204	77	Convoy shoots passengers on bus that fails to pull over	12.11.2008 07:40	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
4B54C6BD-3057-4C3B-8C74-30342C5D9670	http://www.guardian.co.uk/world/afghanistan/warlogs/4B54C6BD-3057-4C3B-8C74-30342C5D9670	31,57579231	64,34363556	89	British commandos kill a child	19.11.2008 17:10	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
C88F3071-9944-A666-80DA3E58F368F40E	http://www.guardian.co.uk/world/afghanistan/warlogs/C88F3071-9944-A666-80DA3E58F368F40E	31,4878006	65,86040497	254	Convoy guards shoot special forces vehicle	22.11.2008 19:10	Friendly Fire	Blue-Blue	Coalition friendly fire	FRIEND	BLUE
E8AA01C8-A3FD-467E-85F6-7BF604445A41	http://www.guardian.co.uk/world/afghanistan/warlogs/E8AA01C8-A3FD-467E-85F6-7BF604445A41	31,59590912	64,36922455	283	Police patrol with UK mentors kills man, injures girl in vehicle	29.11.2008 10:00	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
FC5130A0-C3AC-FB6A-E6E38AA793B44599	http://www.guardian.co.uk/world/afghanistan/warlogs/FC5130A0-C3AC-FB6A-E6E38AA793B44599	35,01437378	69,16923523	302	Driver wounded at checkpoint	03.12.2008 03:13	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
080e0000011e00032d9f160d4dbf8e1f	http://www.guardian.co.uk/world/afghanistan/warlogs/080e0000011e00032d9f160d4dbf8e1f	31,88914108	66,51569366	16	Bus driver shot at road-block	04.12.2008 09:40	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
283C7026-A6D2-4A4E-BCD3-5B1E742073F6	http://www.guardian.co.uk/world/afghanistan/warlogs/283C7026-A6D2-4A4E-BCD3-5B1E742073F6	32,06578064	64,82244873	50	UK Commandos wound civilian wrongly thought to be 'spotter'	04.12.2008 16:06	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
080e0000011e1f38da79160d271eb9ae	http://www.guardian.co.uk/world/afghanistan/warlogs/080e0000011e1f38da79160d271eb9ae	33,86717987	68,63316345	17	Patrol machine-guns bus with 15 civilian casualties	12.12.2008 06:42	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
465C3464-9DFC-A310-DB247C6688527762	http://www.guardian.co.uk/world/afghanistan/warlogs/465C3464-9DFC-A310-DB247C6688527762	31,58228683	65,44472504	83	Three Afghan police in car are shot, one dead, two hurt	17.12.2008 07:11	Friendly Fire	Blue-Green	Coalition friendly fire	FRIEND	BLUE
369D999E-F9EC-4C57-9FF0-65B746A19567	http://www.guardian.co.uk/world/afghanistan/warlogs/369D999E-F9EC-4C57-9FF0-65B746A19567	31,71548843	64,26860809	71	British commandos shoot vehicle occupant	24.12.2008 10:15	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
88BE7199-5C88-484E-A5BD-BE6AD0654657	http://www.guardian.co.uk/world/afghanistan/warlogs/88BE7199-5C88-484E-A5BD-BE6AD0654657	32,07024384	64,8383255	193	12-year-old wounded by British commandos at road-block	30.12.2008 13:24	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
9FC1A6EA-94A7-4099-A433-158C2D3CC2D1	http://www.guardian.co.uk/world/afghanistan/warlogs/9FC1A6EA-94A7-4099-A433-158C2D3CC2D1	31,51602936	65,45257568	219	Two women and a man in a van shot and wounded	01.01.2009 17:13	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
080e0000011e8f8237df160d692fca8c	http://www.guardian.co.uk/world/afghanistan/warlogs/080e0000011e8f8237df160d692fca8c	33,94888687	69,05259705	18	Construction team crossing road shoot driver	02.01.2009 12:41	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
F8BFA9CB-9FED-45C3-876B-EDC90270F27A	http://www.guardian.co.uk/world/afghanistan/warlogs/F8BFA9CB-9FED-45C3-876B-EDC90270F27A	31,86016464	64,70287323	296	British mentors with Afghan patrol shoot pedestrian in error	03.01.2009 09:52	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
78523FD0-2219-0B3F-9FF02E00B6A2578A	http://www.guardian.co.uk/world/afghanistan/warlogs/78523FD0-2219-0B3F-9FF02E00B6A2578A	34,58972168	69,76249695	165	Ex-spymaster alleged to be planning suicide attack	05.01.2009 21:00	Threat Report	IED Threat	Other	ENEMY	RED
F8E7412C-9BA8-4D60-A4D3-86E9D24F3A96	http://www.guardian.co.uk/world/afghanistan/warlogs/F8E7412C-9BA8-4D60-A4D3-86E9D24F3A96	32,10556412	64,86541748	298	Two children wounded in Reaper strikes supporting British Commandos	19.01.2009 04:30	Friendly Action	Attack	Civilian casualties	FRIEND	BLUE
080e0000011ee6ee99fe16dc9877876c	http://www.guardian.co.uk/world/afghanistan/warlogs/080e0000011ee6ee99fe16dc9877876c	34,88606644	69,64839935	19	12-year-old wounded in cross-fire	20.01.2009 05:48	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
C01F38D4-6282-487A-96B9-794A8C7D9841	http://www.guardian.co.uk/world/afghanistan/warlogs/C01F38D4-6282-487A-96B9-794A8C7D9841	32,0683136	64,82822418	242	British commandos wound man and child	27.01.2009 15:54	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
6B07985E-1F1C-4C36-8BF9-DB2EFD408FA1	http://www.guardian.co.uk/world/afghanistan/warlogs/6B07985E-1F1C-4C36-8BF9-DB2EFD408FA1	32,23718262	63,23436737	134	Police fire on army convoy	31.01.2009 04:45	Friendly Fire	Green-Green	Afghan friendly fire	FRIEND	BLUE
B13D6300-E0FF-470C-9BB2-2F96C26B05A9	http://www.guardian.co.uk/world/afghanistan/warlogs/B13D6300-E0FF-470C-9BB2-2F96C26B05A9	31,67648888	64,12952423	230	Air strike kills two in opium poppy crackdown	31.01.2009 06:30	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
0x080e0000011f2b067941160d6650841e	http://www.guardian.co.uk/world/afghanistan/warlogs/0x080e0000011f2b067941160d6650841e	32,94018555	69,1786499	28	Convoy machine-gunner kills passenger and wounds driver	31.01.2009 06:35	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
533D6709-CB63-3320-F559DB71514837E6	http://www.guardian.co.uk/world/afghanistan/warlogs/533D6709-CB63-3320-F559DB71514837E6	33,14517212	68,79198456	107	"Two police officers shot during ""horseplay"""	07.02.2009 17:50	Friendly Fire	Green-Green	Afghan friendly fire	FRIEND	BLUE
8C7DF674-972B-42CD-B69D-D6F3F72AC8C4	http://www.guardian.co.uk/world/afghanistan/warlogs/8C7DF674-972B-42CD-B69D-D6F3F72AC8C4	34,10863495	62,4978447	204	Top Taliban bombed	16.02.2009 23:16	Threat Report	Attack Threat	Other	ENEMY	RED
EC2BA5D1-6821-42E9-953E-FB9AF49810D5	http://www.guardian.co.uk/world/afghanistan/warlogs/EC2BA5D1-6821-42E9-953E-FB9AF49810D5	31,65296745	65,04427338	286	Patrol kills two civilians in vehicle	17.02.2009 05:56	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
884CB1AA-A869-2ECF-8939B2E9B2D804A4	http://www.guardian.co.uk/world/afghanistan/warlogs/884CB1AA-A869-2ECF-8939B2E9B2D804A4	34,40105057	70,49648285	192	Soldier shoots another at checkpoint	17.02.2009 17:28	Friendly Fire	Green-Green	Afghan friendly fire	FRIEND	BLUE
0x080e0000011f9af32533160d2a7a8824	http://www.guardian.co.uk/world/afghanistan/warlogs/0x080e0000011f9af32533160d2a7a8824	34,49661636	70,1284256	29	Woman and child injured by shooting-related crash at checkpoint	22.02.2009 07:04	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
4ED0CF94-1F2C-43F8-B311-8D5AFEBBE111	http://www.guardian.co.uk/world/afghanistan/warlogs/4ED0CF94-1F2C-43F8-B311-8D5AFEBBE111	32,1960144	63,29176331	94	Marines convoy wounds two in vehicle	01.03.2009 07:30	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
C271ACD7-1517-911C-C532AF7AAD49B159	http://www.guardian.co.uk/world/afghanistan/warlogs/C271ACD7-1517-911C-C532AF7AAD49B159	34,43305206	70,4524231	249	Convoy shoot 70-year-old man in taxi	01.03.2009 08:59	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
0x080e00000120366fa20a160d2db585d8	http://www.guardian.co.uk/world/afghanistan/warlogs/0x080e00000120366fa20a160d2db585d8	34,00456238	69,01872253	30	Patrol shoots and kills driver	24.03.2009 05:48	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
7B222CB7-2219-0B3F-9F741A7EB902F74C	http://www.guardian.co.uk/world/afghanistan/warlogs/7B222CB7-2219-0B3F-9F741A7EB902F74C	34,38405991	69,49311066	168	US believes big group of insurgents moved from Iran into Afghanistan to launch suicide attacks around Kabul	25.03.2009 00:00	Threat Report	IED Threat	Other	ENEMY	RED
90F4E593-71B8-4CA2-9859-DD3A3E564B0B	http://www.guardian.co.uk/world/afghanistan/warlogs/90F4E593-71B8-4CA2-9859-DD3A3E564B0B	32,05913544	64,82676697	211	Mentally-ill man shot on suspicion by British Commandos	26.03.2009 11:05	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
1E186DAF-141A-4D67-AF10-CAAE05F9361C	http://www.guardian.co.uk/world/afghanistan/warlogs/1E186DAF-141A-4D67-AF10-CAAE05F9361C	31,63064003	65,73719788	45	US flare wounds child pedestrian	02.04.2009 12:30	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
9F2A1192-5A20-4330-B07D-DE3D7BC20A46	http://www.guardian.co.uk/world/afghanistan/warlogs/9F2A1192-5A20-4330-B07D-DE3D7BC20A46	31,61394501	65,69541168	218	Man wounded after convoy fires shots	08.04.2009 09:10	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
56931F25-0D62-45D5-AFC6-2A871ACED5B4	http://www.guardian.co.uk/world/afghanistan/warlogs/56931F25-0D62-45D5-AFC6-2A871ACED5B4	34,53042984	69,25062561	113	Soldier shoots 4 comrades	08.04.2009 14:40	Friendly Fire	Green-Green	Afghan friendly fire	FRIEND	BLUE
4D992C81-964A-4370-8EEA-B8D22EC5C5DC	http://www.guardian.co.uk/world/afghanistan/warlogs/4D992C81-964A-4370-8EEA-B8D22EC5C5DC	32,34589767	64,7677002	93	Soldier shoots his sergeant	09.04.2009 11:35	Friendly Fire	Green-Green	Afghan friendly fire	FRIEND	BLUE
B46B3CDB-2592-487D-BF25-EA3E795F2020	http://www.guardian.co.uk/world/afghanistan/warlogs/B46B3CDB-2592-487D-BF25-EA3E795F2020	31,06037521	64,18856812	232	"Border police ""high on opium"" in shoot-out"	11.04.2009 00:44	Friendly Fire	Green-Green	Afghan friendly fire	FRIEND	BLUE
C202836B-20D4-42B2-9056-D528D54C74C6	http://www.guardian.co.uk/world/afghanistan/warlogs/C202836B-20D4-42B2-9056-D528D54C74C6	32,15319443	63,43691254	247	Marines guards shoot civilian in leg	11.04.2009 09:25	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
