reportkey	Guardian incident url	lat	long	bundle	Guardian headline	dateoccurred	type	category	Guardian edited category	attackon	dcolor
D98CCE83-41D1-424A-B29A-C4A4FFCD71C2	http://www.guardian.co.uk/world/afghanistan/warlogs/D98CCE83-41D1-424A-B29A-C4A4FFCD71C2	31,50993919	65,87451172	271	Patrol shoots at civilian truck near Kandahar, wounds two	09.11.2006 13:31	Friendly Action	Direct Fire	Civilian casualties	FRIEND	BLUE
4F4AE864-F26D-4AAF-9F40-C9A30F25C104	http://www.guardian.co.uk/world/afghanistan/warlogs/4F4AE864-F26D-4AAF-9F40-C9A30F25C104	30,99321938	64,56371307	97	"British Marines patrol kills two, wounds two in Toyota with ""warning shots"""	15.11.2006 05:47	Enemy Action	Direct Fire	Civilian casualties	ENEMY	RED
88B5B5FC-D487-413B-8B2F-116DDEB94323	http://www.guprod.gnl/world/afghanistan/warlogs/88B5B5FC-D487-413B-8B2F-116DDEB94323	31,62048912	65,71856689	310	convoy struck an IED in Kandahar	03.12.2006 06:31	Explosive Hazard	IED Explosion	Other	ENEMY	RED
771CD01D-2219-0B3F-9F25AD253F1E62AC	http://www.guardian.co.uk/world/afghanistan/warlogs/771CD01D-2219-0B3F-9F25AD253F1E62AC	34,52099991	69,16531372	145	Former Pakistani spy chief accused of conspiring to attack Nato troops	17.12.2006 00:00	Threat Report	IED Threat	Other	ENEMY	RED
5564D1A3-EF0A-4C22-96F2-91BE3724B77A	http://www.guardian.co.uk/world/afghanistan/warlogs/5564D1A3-EF0A-4C22-96F2-91BE3724B77A	34,53142166	69,20159149	109	Police shoot out window of soldiers' vehicle	22.12.2006 11:30	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
B0CD129D-1BB9-4B9A-8075-E9762FA8F4E3	http://www.guardian.co.uk/world/afghanistan/warlogs/B0CD129D-1BB9-4B9A-8075-E9762FA8F4E3	31,53466988	65,85738373	229	Civilian shot dead on Kandahar road	27.12.2006 05:55	Other	Planned Event	Other	NEUTRAL	GREEN
30405E00-6F3E-4554-A97E-B739DA6EEEE1	http://www.guardian.co.uk/world/afghanistan/warlogs/30405E00-6F3E-4554-A97E-B739DA6EEEE1	33,46133041	70,22242737	64	Border patrol shell Pakistani helicopter	11.01.2007 07:30	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
C481DE0E-F2D1-49C0-BBC6-ABA60677AB11	http://www.guardian.co.uk/world/afghanistan/warlogs/C481DE0E-F2D1-49C0-BBC6-ABA60677AB11	32,15213013	66,88878632	251	Automatic fire from convoy wounds driver	11.01.2007 09:10	Enemy Action	Other (Hostile Action)	Other	ENEMY	RED
2C6983DB-E948-4922-A2F5-7C4B1DA94E5C	http://www.guardian.co.uk/world/afghanistan/warlogs/2C6983DB-E948-4922-A2F5-7C4B1DA94E5C	32,16704178	63,42435074	58	Border patrol storm police post in corruption row	30.01.2007 16:43	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
281BA820-E97C-4651-91B0-9930DD0AABA1	http://www.guardian.co.uk/world/afghanistan/warlogs/281BA820-E97C-4651-91B0-9930DD0AABA1	34,6776619	70,19769287	49	Patrol wounds two civilians in car for not stopping	01.02.2007 02:35	Enemy Action	Other (Hostile Action)	Other	ENEMY	RED
D1E2A75B-A21A-4130-9C5F-3D80F37A7817	http://www.guardian.co.uk/world/afghanistan/warlogs/D1E2A75B-A21A-4130-9C5F-3D80F37A7817	33,42625046	64,01112366	265	Terse meeting between American and Pakistani solidiers	07.02.2007 00:00	Non-Combat Event	Meeting - Security	Other	NEUTRAL	GREEN
